Question,Answer
10- what did the indus civilization rely on?,agriculture
11- what types of economic activities were prevalent in the indus valley civilization?,"indus civilization was based on agriculture and the inhabitants of this region cultivated crops such as wheat, barley, and cotton in the alluvial and fertile plains around indus and raised livestock, especially buffaloes. there are also signs of the prevalence of pottery and textile industry in that region. the presence of some objects belonging to the civilizational centers of iran and mesopotamia in the discoveries of mohenjo-daro and harappa shows that these centers traded with each other."
12- what was the condition of agriculture in the indus valley civilization?,"indus civilization was based on agriculture and the inhabitants of this region cultivated crops such as wheat, barley and cotton and raised livestock, especially buffalo, in the alluvial and fertile plains around the indus."
12- indus river civilization traded with which civilization centers of its time?,civilization of iran and mesopotamia
13- what was the state of industry and art in the indus valley civilization?,"there are signs of the prevalence of pottery and textile industry in that region. the existence of some objects belonging to the civilizational centers of iran and mesopotamia in the discoveries of mohenjo-daro and harappa shows that these centers traded with each other. tools, dishes, works of art, sculptures and ornaments have been discovered from the sindh civilization, which show the flourishing of industry and art. tablets and writings have also been obtained from this civilization that have not been deciphered and read so far"
"14- why do we not know anything about the political, social and cultural situation of sindh civilization?",because the tablets and writings obtained from there have not been deciphered until now
15- list the important achievements of indus civilization. (sample question 1-),"1) progress in the field of architecture and urban planning
2) cities are equipped with public places used by people, such as bathrooms, places of worship, warehouses, etc.
3) prosperity of agriculture and animal husbandry in this region
4) the development of pottery, textile, sculpture, jewelry and..."
16- when and under what conditions did the aryans enter india?,"around 1500 bc, when the indus civilization was declining, groups of aryan tribes entered india from the northwest."
17- to what extent and from which region did the aryans enter india?,1500 bc / northwest
18- how did the aryans dominate parts of india?,"they, who were warrior people with horses and chariots, gradually dominated the northern parts of india and extended their power and influence to the central regions of that country."
"19- during the rule of the aryans over the northern and central parts of india, what tribes remained in the hands of the southern parts of india?",the tropical and humid regions of southern india remained under the rule of the dark-skinned ethnic group called the dravidians
"20- the tropical and humid regions of south india, a dark-skinned people called ………….. continued their independent life there for centuries.",dravidians
21- what was the religion of indian aryans?,"like other indo-european peoples, they also worshiped various gods as one of the manifestations of nature such as the sky, moon, sun, wind and fire. like the iranian aryans, they believed in an immaterial and supernatural god."
22- the most important surviving works about the beliefs of the indian aryans are poems in praise of the creation and the gods with the title …………..,the vedas
23- what is the name of the most important surviving work about the aryan beliefs of india and what is its subject?,"hymns in praise of creation and gods titled ""vedas"""
24- the oldest part of the vedas …………. it is written in the language of the aryan immigrants.,rig veda / in sanskrit
25- explain the brahmin religion?,this religion believed in many gods that were praised in the vedas and imposed difficult rituals on its followers. sacrifice was one of its difficult and complicated customs
26- what were the duties of brahmins?,"brahmins were responsible for preserving the hymns of the vedas from being forgotten, teaching religious teachings and performing religious rituals."
27- what kind of ceremony was the sacrifice in the brahmin religion?,it was one of the difficult and complicated customs of this ritual.
28- explain the social position of brahmins?,brahmins gained a lot of power and wealth due to their position and religious position and formed a privileged caste or class.
29- explain the origin of brahmanism and its prominent feature. (sample question 2),"india / belief in various gods, sacrificing to the gods, teaching religious matters and performing religious songs by brahmins"
